player_name,position,jersey_number,line,pp_unit,team,source
Jake Walman,D,96,2,,EDM,dailyfaceoff
Brett Kulak,D,27,3,,EDM,dailyfaceoff
Ty Emberson,D,49,3,,EDM,dailyfaceoff
Carter Verhaeghe,F,23,1,PP2,FLA,dailyfaceoff
Sam Bennett,F,9,1,PP1,FLA,dailyfaceoff
Sam Reinhart,F,13,1,PP1,FLA,dailyfaceoff
Eetu Luostarinen,F,27,2,PP2,FLA,dailyfaceoff
Anton Lundell,F,15,2,PP2,FLA,dailyfaceoff
Brad Marchand,F,63,2,PP2,FLA,dailyfaceoff
Jesper Boqvist,F,70,3,,FLA,dailyfaceoff
Evan Rodrigues,F,17,3,,FLA,dailyfaceoff
Mackie Samoskevich,F,11,3,PP1,FLA,dailyfaceoff
Jonah Gadjovich,F,12,4,,FLA,dailyfaceoff
Luke Kunin,F,71,4,,FLA,dailyfaceoff
A.J. Greer,F,10,4,,FLA,dailyfaceoff
Gustav Forsling,D,42,1,PP2,FLA,dailyfaceoff
Aaron Ekblad,D,5,1,PP1,FLA,dailyfaceoff
Niko Mikkola,D,77,2,,FLA,dailyfaceoff
Seth Jones,D,3,2,PP1,FLA,dailyfaceoff
Dmitry Kulikov,D,7,3,,FLA,dailyfaceoff
Jeff Petry,D,2,3,,FLA,dailyfaceoff
Andrei Kuzmenko,F,96,1,PP1,LAK,dailyfaceoff
Anze Kopitar,F,11,1,PP1,LAK,dailyfaceoff
Adrian Kempe,F,9,1,PP1,LAK,dailyfaceoff
Kevin Fiala,F,22,2,PP1,LAK,dailyfaceoff
Quinton Byfield,F,55,2,PP1,LAK,dailyfaceoff
Alex Laferriere,F,14,2,PP2,LAK,dailyfaceoff
Trevor Moore,F,12,3,,LAK,dailyfaceoff
Phillip Danault,F,24,3,PP2,LAK,dailyfaceoff
Warren Foegele,F,37,3,PP2,LAK,dailyfaceoff
Jeff Malott,F,39,4,,LAK,dailyfaceoff
Alex Turcotte,F,15,4,,LAK,dailyfaceoff
Joel Armia,F,40,4,,LAK,dailyfaceoff
Mikey Anderson,D,44,1,,LAK,dailyfaceoff
Drew Doughty,D,8,1,PP2,LAK,dailyfaceoff
Brian Dumoulin,D,2,2,,LAK,dailyfaceoff
Brandt Clarke,D,92,2,PP2,LAK,dailyfaceoff
Joel Edmundson,D,6,3,,LAK,dailyfaceoff
Cody Ceci,D,5,3,,LAK,dailyfaceoff
Kirill Kaprizov,F,97,1,PP1,MIN,dailyfaceoff
Marco Rossi,F,23,1,PP1,MIN,dailyfaceoff
Matt Boldy,F,12,1,PP1,MIN,dailyfaceoff
Liam Ohgren,F,28,2,PP2,MIN,dailyfaceoff
Joel Eriksson Ek,F,14,2,PP1,MIN,dailyfaceoff
Vladimir Tarasenko,F,91,2,PP2,MIN,dailyfaceoff
Danila Yurov,F,22,3,PP2,MIN,dailyfaceoff
Ryan Hartman,F,38,3,PP2,MIN,dailyfaceoff
Marcus Johansson,F,,3,,MIN,dailyfaceoff
Marcus Foligno,F,17,4,,MIN,dailyfaceoff
Nico Sturm,F,78,4,,MIN,dailyfaceoff
Yakov Trenin,F,13,4,,MIN,dailyfaceoff
Jacob Middleton,D,5,1,,MIN,dailyfaceoff
Brock Faber,D,7,1,PP2,MIN,dailyfaceoff
Zeev Buium,D,8,2,PP1,MIN,dailyfaceoff
Jared Spurgeon,D,46,2,,MIN,dailyfaceoff
Zach Bogosian,D,24,3,,MIN,dailyfaceoff
David Jiricek,D,,3,,MIN,dailyfaceoff
Cole Caufield,F,13,1,PP1,MTL,dailyfaceoff
Nick Suzuki,F,14,1,PP1,MTL,dailyfaceoff
Juraj Slafkovsky,F,20,1,PP1,MTL,dailyfaceoff
Patrik Laine,F,92,2,PP2,MTL,dailyfaceoff
Kirby Dach,F,77,2,PP2,MTL,dailyfaceoff
Ivan Demidov,F,93,2,PP1,MTL,dailyfaceoff
Zack Bolduc,F,76,3,PP2,MTL,dailyfaceoff
Alex Newhook,F,15,3,PP2,MTL,dailyfaceoff
Oliver Kapanen,F,91,3,,MTL,dailyfaceoff
Brendan Gallagher,F,11,4,,MTL,dailyfaceoff
Jake Evans,F,71,4,,MTL,dailyfaceoff
Josh Anderson,F,17,4,,MTL,dailyfaceoff
Mike Matheson,D,8,1,,MTL,dailyfaceoff
Noah Dobson,D,53,1,PP2,MTL,dailyfaceoff
Kaiden Guhle,D,21,2,,MTL,dailyfaceoff
Lane Hutson,D,48,2,PP1,MTL,dailyfaceoff
Arber Xhekaj,D,72,3,,MTL,dailyfaceoff
Alexandre Carrier,D,45,3,,MTL,dailyfaceoff
Filip Forsberg,F,9,1,PP1,NSH,dailyfaceoff
Ryan O'Reilly,F,90,1,PP1,NSH,dailyfaceoff
Brady Martin,F,,1,PP2,NSH,dailyfaceoff
Steven Stamkos,F,91,2,PP1,NSH,dailyfaceoff
Fedor Svechkov,F,40,2,PP2,NSH,dailyfaceoff
Joakim Kemell,F,,2,PP2,NSH,dailyfaceoff
Michael Bunting,F,58,3,PP2,NSH,dailyfaceoff
Erik Haula,F,56,3,,NSH,dailyfaceoff
Jonathan Marchessault,F,81,3,PP1,NSH,dailyfaceoff
Cole Smith,F,36,4,,NSH,dailyfaceoff
Michael McCarron,F,47,4,,NSH,dailyfaceoff
Ozzy Wiesblatt,F,2024,4,,NSH,dailyfaceoff
Adam Wilsby,D,83,1,,NSH,dailyfaceoff
Roman Josi,D,59,1,PP1,NSH,dailyfaceoff
