player_name,position,jersey_number,line,team,source,pp_unit
Sturm,F,78,4,MIN,puckpedia,
Boldy,F,12,1,MIN,puckpedia,PP1
Tarasenko,F,91,2,MIN,puckpedia,PP2
Foligno,F,17,3,MIN,puckpedia,
Yurov,F,22,4,MIN,puckpedia,
Middleton,D,5,1,MIN,puckpedia,
Buium,D,8,2,MIN,puckpedia,PP2
Jiricek,D,55,3,MIN,puckpedia,
Faber,D,7,1,MIN,puckpedia,PP1
Spurgeon,D,46,2,MIN,puckpedia,PP2
Bogosian,D,24,3,MIN,puckpedia,
Caufield,F,13,1,MTL,puckpedia,PP1
Bolduc,F,76,2,MTL,puckpedia,
Newhook,F,15,3,MTL,puckpedia,PP2
Gallagher,F,11,4,MTL,puckpedia,PP2
Suzuki,F,14,1,MTL,puckpedia,PP1
Dach,F,77,2,MTL,puckpedia,
Kapanen,F,91,3,MTL,puckpedia,
Evans,F,71,4,MTL,puckpedia,
Slafkovský,F,20,1,MTL,puckpedia,PP1
Laine,F,92,2,MTL,puckpedia,PP1
Demidov,F,93,3,MTL,puckpedia,PP2
Anderson,F,17,4,MTL,puckpedia,
Matheson,D,8,1,MTL,puckpedia,PP2
Guhle,D,21,2,MTL,puckpedia,
Xhekaj,D,72,3,MTL,puckpedia,
Dobson,D,53,1,MTL,puckpedia,PP2
Hutson,D,48,2,MTL,puckpedia,PP1
Carrier,D,45,3,MTL,puckpedia,
Dadonov,F,33,1,NJD,puckpedia,PP2
Meier,F,28,2,NJD,puckpedia,PP1
Palat,F,18,3,NJD,puckpedia,PP2
Cotter,F,47,4,NJD,puckpedia,
Hughes,F,86,1,NJD,puckpedia,"PP1, PP2"
Hischier,F,13,2,NJD,puckpedia,PP1
Glass,F,12,3,NJD,puckpedia,
Glendening,F,14,4,NJD,puckpedia,
Bratt,F,63,1,NJD,puckpedia,PP1
Mercer,F,91,2,NJD,puckpedia,PP2
Brown,F,16,3,NJD,puckpedia,
Gritsyuk,F,81,4,NJD,puckpedia,PP2
Siegenthaler,D,71,1,NJD,puckpedia,
Hughes,D,43,2,NJD,puckpedia,"PP1, PP2"
Dillon,D,5,3,NJD,puckpedia,
Hamilton,D,7,1,NJD,puckpedia,PP1
Pesce,D,22,2,NJD,puckpedia,
Nemec,D,17,3,NJD,puckpedia,
Duclair,F,11,1,NYI,puckpedia,PP2
Lee,F,27,2,NYI,puckpedia,PP1
Shabanov,F,49,3,NYI,puckpedia,PP2
Heineman,F,51,4,NYI,puckpedia,
Horvat,F,14,1,NYI,puckpedia,PP1
Barzal,F,13,2,NYI,puckpedia,PP1
Pageau,F,44,3,NYI,puckpedia,
Cizikas,F,53,4,NYI,puckpedia,
Drouin,F,29,1,NYI,puckpedia,PP1
Palmieri,F,21,2,NYI,puckpedia,PP2
Holmstrom,F,10,3,NYI,puckpedia,PP2
Tsyplakov,F,7,4,NYI,puckpedia,
Pelech,D,3,1,NYI,puckpedia,
Romanov,D,28,2,NYI,puckpedia,
Schaefer,D,48,3,NYI,puckpedia,
Pulock,D,6,1,NYI,puckpedia,PP2
DeAngelo,D,77,2,NYI,puckpedia,PP1
Mayfield,D,24,3,NYI,puckpedia,
Panarin,F,10,1,NYR,puckpedia,PP1
Cuylle,F,50,2,NYR,puckpedia,PP2
Berard,F,65,3,NYR,puckpedia,
Edstrom,F,84,4,NYR,puckpedia,
Trocheck,F,16,1,NYR,puckpedia,PP1
Miller,F,8,2,NYR,puckpedia,PP1
Parssinen,F,71,3,NYR,puckpedia,PP2
Carrick,F,39,4,NYR,puckpedia,
Lafreniere,F,13,1,NYR,puckpedia,PP2
Zibanejad,F,93,2,NYR,puckpedia,PP1
Raddysh,F,14,3,NYR,puckpedia,PP2
Rempe,F,73,4,NYR,puckpedia,
Gavrikov,D,44,1,NYR,puckpedia,
Soucy,D,24,2,NYR,puckpedia,PP2
Vaakanainen,D,18,3,NYR,puckpedia,
Fox,D,23,1,NYR,puckpedia,PP1
Borgen,D,17,2,NYR,puckpedia,
Schneider,D,4,3,NYR,puckpedia,
Tkachuk,F,7,1,OTT,puckpedia,PP1
Perron,F,57,2,OTT,puckpedia,PP2
Greig,F,71,3,OTT,puckpedia,PP2
Cousins,F,21,4,OTT,puckpedia,
Stutzle,F,18,1,OTT,puckpedia,PP1
Cozens,F,24,2,OTT,puckpedia,PP1
Pinto,F,12,3,OTT,puckpedia,
Eller,F,89,4,OTT,puckpedia,
Giroux,F,28,1,OTT,puckpedia,PP2
Zetterlund,F,20,2,OTT,puckpedia,PP2
Batherson,F,19,3,OTT,puckpedia,PP1
Amadio,F,22,4,OTT,puckpedia,
Sanderson,D,85,1,OTT,puckpedia,PP1
Chabot,D,72,2,OTT,puckpedia,PP2
Kleven,D,43,3,OTT,puckpedia,
Zub,D,2,1,OTT,puckpedia,
Jensen,D,3,2,OTT,puckpedia,
Spence,D,10,3,OTT,puckpedia,
Grebenkin,F,29,1,PHI,puckpedia,
Tippett,F,74,2,PHI,puckpedia,PP2
Foerster,F,71,3,PHI,puckpedia,PP2
Hathaway,F,19,4,PHI,puckpedia,
Couturier,F,14,1,PHI,puckpedia,PP1
Zegras,F,46,2,PHI,puckpedia,PP1
Cates,F,27,3,PHI,puckpedia,PP2
Dvorak,F,22,4,PHI,puckpedia,
Konecny,F,11,1,PHI,puckpedia,PP1
Michkov,F,39,2,PHI,puckpedia,PP1
Brink,F,10,3,PHI,puckpedia,PP2
Deslauriers,F,44,4,PHI,puckpedia,
York,D,8,1,PHI,puckpedia,
Seeler,D,24,2,PHI,puckpedia,
Ginning,D,13,3,PHI,puckpedia,
Sanheim,D,6,1,PHI,puckpedia,PP2
Drysdale,D,9,2,PHI,puckpedia,PP1
Zamula,D,5,3,PHI,puckpedia,
Koivunen,F,41,1,PIT,puckpedia,PP2
Mantha,F,39,2,PIT,puckpedia,PP2
Kindel,F,81,3,PIT,puckpedia,PP2
Dewar,F,19,4,PIT,puckpedia,
Crosby,F,87,1,PIT,puckpedia,PP1
Malkin,F,71,2,PIT,puckpedia,PP1
Novak,F,18,3,PIT,puckpedia,
Lizotte,F,46,4,PIT,puckpedia,
Rakell,F,67,1,PIT,puckpedia,PP1
Brazeau,F,15,2,PIT,puckpedia,PP2
Tomasino,F,53,3,PIT,puckpedia,
Acciari,F,55,4,PIT,puckpedia,
Jones,D,82,1,PIT,puckpedia,PP2
Wotherspoon,D,28,2,PIT,puckpedia,
Shea,D,5,3,PIT,puckpedia,
Letang,D,58,1,PIT,puckpedia,PP1
Karlsson,D,65,2,PIT,puckpedia,PP1
Clifton,D,75,3,PIT,puckpedia,
Eklund,F,72,1,SJS,puckpedia,PP1
