player_name,position,jersey_number,line,team,source,pp_unit
Deslauriers,F,44.0,4,PHI,puckpedia,
York,D,8.0,1,PHI,puckpedia,
Seeler,D,24.0,2,PHI,puckpedia,
Ginning,D,13.0,3,PHI,puckpedia,
Sanheim,D,6.0,1,PHI,puckpedia,PP2
Drysdale,D,9.0,2,PHI,puckpedia,PP1
Zamula,D,5.0,3,PHI,puckpedia,
Koivunen,F,41.0,1,PIT,puckpedia,PP2
Mantha,F,39.0,2,PIT,puckpedia,PP2
Kindel,F,81.0,3,PIT,puckpedia,PP2
Dewar,F,19.0,4,PIT,puckpedia,
Crosby,F,87.0,1,PIT,puckpedia,PP1
Malkin,F,71.0,2,PIT,puckpedia,PP1
Novak,F,18.0,3,PIT,puckpedia,
Lizotte,F,46.0,4,PIT,puckpedia,
Rakell,F,67.0,1,PIT,puckpedia,PP1
Brazeau,F,15.0,2,PIT,puckpedia,PP2
Tomasino,F,53.0,3,PIT,puckpedia,
Acciari,F,55.0,4,PIT,puckpedia,
Jones,D,82.0,1,PIT,puckpedia,PP2
Wotherspoon,D,28.0,2,PIT,puckpedia,
Graves,D,27.0,3,PIT,puckpedia,
Letang,D,58.0,1,PIT,puckpedia,PP1
Karlsson,D,65.0,2,PIT,puckpedia,PP1
Clifton,D,75.0,3,PIT,puckpedia,
Eklund,F,72.0,1,SJS,puckpedia,PP1
Graf,F,51.0,2,SJS,puckpedia,
Skinner,F,53.0,3,SJS,puckpedia,PP2
Goodrow,F,23.0,4,SJS,puckpedia,
Celebrini,F,71.0,1,SJS,puckpedia,PP1
Misa,F,77.0,2,SJS,puckpedia,PP2
Wennberg,F,21.0,3,SJS,puckpedia,PP2
Gaudette,F,81.0,4,SJS,puckpedia,PP2
Toffoli,F,73.0,1,SJS,puckpedia,PP1
Smith,F,2.0,2,SJS,puckpedia,PP1
Kurashev,F,96.0,3,SJS,puckpedia,
Reaves,F,75.0,4,SJS,puckpedia,
Ferraro,D,38.0,1,SJS,puckpedia,
Leddy,D,4.0,2,SJS,puckpedia,
Mukhamadullin,D,85.0,3,SJS,puckpedia,
Liljegren,D,37.0,1,SJS,puckpedia,PP1
Klingberg,D,3.0,2,SJS,puckpedia,PP2
Orlov,D,9.0,3,SJS,puckpedia,
McCann,F,19.0,1,SEA,puckpedia,PP1
Marchment,F,27.0,2,SEA,puckpedia,PP2
Schwartz,F,17.0,3,SEA,puckpedia,PP1
Kartye,F,12.0,4,SEA,puckpedia,
Beniers,F,10.0,1,SEA,puckpedia,PP1
Stephenson,F,9.0,2,SEA,puckpedia,PP2
Wright,F,51.0,3,SEA,puckpedia,PP1
Gaudreau,F,89.0,4,SEA,puckpedia,
Nyman,F,38.0,1,SEA,puckpedia,PP2
Tolvanen,F,20.0,2,SEA,puckpedia,
Eberle,F,7.0,3,SEA,puckpedia,PP2
Hayden,F,15.0,4,SEA,puckpedia,
Dunn,D,29.0,1,SEA,puckpedia,PP1
Lindgren,D,55.0,2,SEA,puckpedia,
Oleksiak,D,24.0,3,SEA,puckpedia,
Larsson,D,6.0,1,SEA,puckpedia,
Montour,D,62.0,2,SEA,puckpedia,PP2
Mahura,D,28.0,3,SEA,puckpedia,
Buchnevich,F,89.0,1,STL,puckpedia,PP1
Holloway,F,81.0,2,STL,puckpedia,PP1
Neighbours,F,63.0,3,STL,puckpedia,PP2
Toropchenko,F,13.0,4,STL,puckpedia,
Thomas,F,18.0,1,STL,puckpedia,PP1
Schenn,F,10.0,2,STL,puckpedia,PP2
Suter,F,22.0,3,STL,puckpedia,PP2
Sundqvist,F,70.0,4,STL,puckpedia,
Snuggerud,F,21.0,1,STL,puckpedia,PP1
Kyrou,F,25.0,2,STL,puckpedia,PP2
Bjugstad,F,77.0,3,STL,puckpedia,
Walker,F,26.0,4,STL,puckpedia,
Fowler,D,17.0,1,STL,puckpedia,PP1
Broberg,D,6.0,2,STL,puckpedia,
Tucker,D,75.0,3,STL,puckpedia,
Parayko,D,55.0,1,STL,puckpedia,
Faulk,D,72.0,2,STL,puckpedia,PP2
Mailloux,D,23.0,3,STL,puckpedia,
Guentzel,F,59.0,1,TBL,puckpedia,PP1
Hagel,F,38.0,2,TBL,puckpedia,PP1
Bjorkstrand,F,22.0,3,TBL,puckpedia,PP2
Girgensons,F,28.0,4,TBL,puckpedia,
Point,F,21.0,1,TBL,puckpedia,PP1
Cirelli,F,71.0,2,TBL,puckpedia,PP2
Gourde,F,37.0,3,TBL,puckpedia,PP2
Finley,F,62.0,4,TBL,puckpedia,
Kucherov,F,86.0,1,TBL,puckpedia,PP1
Goncalves,F,93.0,2,TBL,puckpedia,PP2
Chaffee,F,41.0,3,TBL,puckpedia,
Geekie,F,14.0,4,TBL,puckpedia,
Hedman,D,77.0,1,TBL,puckpedia,PP1
McDonagh,D,27.0,2,TBL,puckpedia,
Lilleberg,D,78.0,3,TBL,puckpedia,
Moser,D,90.0,1,TBL,puckpedia,
Cernak,D,81.0,2,TBL,puckpedia,
Raddysh,D,43.0,3,TBL,puckpedia,PP2
Knies,F,23.0,1,TOR,puckpedia,PP1
McMann,F,74.0,2,TOR,puckpedia,PP2
Joshua,F,81.0,3,TOR,puckpedia,
Lorentz,F,18.0,4,TOR,puckpedia,
Matthews,F,34.0,1,TOR,puckpedia,PP1
Tavares,F,91.0,2,TOR,puckpedia,PP1
Roy,F,55.0,3,TOR,puckpedia,PP2
Kampf,F,64.0,4,TOR,puckpedia,
Domi,F,11.0,1,TOR,puckpedia,PP2
Nylander,F,88.0,2,TOR,puckpedia,PP1
Maccelli,F,63.0,3,TOR,puckpedia,PP2
Cowan,F,53.0,4,TOR,puckpedia,
McCabe,D,22.0,1,TOR,puckpedia,
Rielly,D,44.0,2,TOR,puckpedia,PP1
Benoit,D,2.0,3,TOR,puckpedia,
Tanev,D,8.0,1,TOR,puckpedia,
Carlo,D,25.0,2,TOR,puckpedia,
Ekman-Larsson,D,95.0,3,TOR,puckpedia,PP2
Guenther,F,11.0,1,UTA,puckpedia,PP1
Keller,F,9.0,2,UTA,puckpedia,PP1
Crouse,F,67.0,3,UTA,puckpedia,PP2
O'Brien,F,38.0,4,UTA,puckpedia,
Cooley,F,92.0,1,UTA,puckpedia,PP2
Hayton,F,27.0,2,UTA,puckpedia,PP2
McBain,F,22.0,3,UTA,puckpedia,PP2
Stenlund,F,82.0,4,UTA,puckpedia,
Peterka,F,77.0,1,UTA,puckpedia,PP1
Schmaltz,F,8.0,2,UTA,puckpedia,PP1
Carcone,F,53.0,3,UTA,puckpedia,
Tanev,F,13.0,4,UTA,puckpedia,
Sergachev,D,98.0,1,UTA,puckpedia,PP1
Cole,D,28.0,2,UTA,puckpedia,
Maatta,D,2.0,3,UTA,puckpedia,
Marino,D,6.0,1,UTA,puckpedia,
Durzi,D,50.0,2,UTA,puckpedia,PP2
Schmidt,D,88.0,3,UTA,puckpedia,
DeBrusk,F,74.0,1,VAN,puckpedia,PP1
Kane,F,91.0,2,VAN,puckpedia,PP2
O'Connor,F,18.0,3,VAN,puckpedia,
Räty,F,54.0,4,VAN,puckpedia,
Pettersson,F,40.0,1,VAN,puckpedia,PP1
Chytil,F,72.0,2,VAN,puckpedia,PP2
Cootes,F,80.0,3,VAN,puckpedia,
Blueger,F,53.0,4,VAN,puckpedia,
Boeser,F,6.0,1,VAN,puckpedia,PP1
Garland,F,8.0,2,VAN,puckpedia,PP1
Sherwood,F,44.0,3,VAN,puckpedia,PP2
Lekkerimaki,F,23.0,4,VAN,puckpedia,PP2
Hughes,D,43.0,1,VAN,puckpedia,PP1
Pettersson,D,29.0,2,VAN,puckpedia,PP1
Pettersson,D,25.0,3,VAN,puckpedia,PP1
Hronek,D,17.0,1,VAN,puckpedia,PP2
Myers,D,57.0,2,VAN,puckpedia,
Forbort,D,27.0,3,VAN,puckpedia,
Barbashev,F,49.0,1,VGK,puckpedia,PP2
Smith,F,19.0,2,VGK,puckpedia,PP2
Saad,F,20.0,3,VGK,puckpedia,
Howden,F,21.0,4,VGK,puckpedia,
Eichel,F,9.0,1,VGK,puckpedia,PP1
Karlsson,F,71.0,2,VGK,puckpedia,PP2
Hertl,F,48.0,3,VGK,puckpedia,PP1
Sissons,F,10.0,4,VGK,puckpedia,
Marner,F,93.0,1,VGK,puckpedia,PP1
Stone,F,61.0,2,VGK,puckpedia,PP1
Dorofeyev,F,16.0,3,VGK,puckpedia,PP2
Kolesar,F,55.0,4,VGK,puckpedia,
McNabb,D,3.0,1,VGK,puckpedia,
Hanifin,D,15.0,2,VGK,puckpedia,PP2
Lauzon,D,5.0,3,VGK,puckpedia,
Theodore,D,27.0,1,VGK,puckpedia,PP1
Whitecloud,D,2.0,2,VGK,puckpedia,
Korczak,D,6.0,3,VGK,puckpedia,
Connor,F,81.0,1,WPG,puckpedia,PP1
Perfetti,F,91.0,2,WPG,puckpedia,PP1
Niederreiter,F,62.0,3,WPG,puckpedia,PP2
Pearson,F,70.0,4,WPG,puckpedia,
Scheifele,F,55.0,1,WPG,puckpedia,PP1
Toews,F,19.0,2,WPG,puckpedia,PP2
Namestnikov,F,7.0,3,WPG,puckpedia,PP2
Barron,F,36.0,4,WPG,puckpedia,
Vilardi,F,13.0,1,WPG,puckpedia,PP1
Nyquist,F,14.0,2,WPG,puckpedia,
Iafallo,F,9.0,3,WPG,puckpedia,PP2
